parents,clones,t1,t2,t3
388,388,10520,42037,72323
389,389,10472,51344,78378
390,390,10472,54776,148607
391,391,10453,40388,87838
392,392,10434,48318,89168
393,393,10424,42819,86103
394,394,10386,38489,89790
395,395,10386,41546,94233
396,396,10329,39001,75190
397,397,10281,50311,121151
398,398,10233,45970,102099
399,399,10223,35005,60250
400,400,10214,26501,35850
401,401,10204,38124,52327
402,402,10204,27962,48526
403,403,10195,41369,74303
404,404,10185,52324,122038
405,405,10176,43038,90535
406,406,10176,31739,78057
407,407,10147,50791,81981
408,408,10128,34692,66173
409,409,10118,45939,88536
410,410,10099,39053,92846
411,411,10032,54161,120378
412,412,10023,37968,78670
413,413,10013,34796,61203
414,414,9975,40680,85423
415,415,9946,51917,133827
416,416,9927,39272,86867
417,417,9908,46325,99213
418,418,9889,42872,100269
419,419,9879,36392,82311
420,420,9870,20179,29333
421,421,9831,43988,90111
422,422,9812,19626,43546
423,423,9803,46231,93893
424,424,9793,40597,89922
425,425,9755,33377,77689
426,426,9697,39919,98817
427,427,9697,31812,56204
428,428,9650,41432,96232
429,429,9640,23809,51403
430,430,9640,32845,64183
431,431,9621,31468,76501
432,432,9611,42538,66654
433,433,9611,34796,72775
434,434,9602,44489,115256
435,435,9573,27096,48074
436,436,9554,43268,116416
437,437,9497,37874,63023
438,438,9477,43738,115096
439,439,9468,27367,61674
440,440,9468,35808,91186
441,441,9449,37373,74435
442,442,9430,32542,82141
443,443,9372,30372,73068
444,444,9344,30883,48847
445,445,9334,25416,53959
446,446,9315,39199,83245
447,447,9286,56383,116454
448,448,9277,31875,63070
449,449,9277,39700,84329
450,450,9277,49883,114209
451,451,9267,37498,66145
452,452,9258,28442,48036
453,453,9248,44489,107569
454,454,9248,37070,87649
455,455,9238,40388,88772
456,456,9210,36403,72049
457,457,9181,52690,91979
458,458,9171,32772,77708
459,459,9171,38448,53299
460,460,9114,23329,44461
461,461,9105,46826,104561
462,462,9066,35996,57553
463,463,9047,31249,53582
464,464,9047,36361,79114
465,465,9038,709,3773
466,466,9038,41922,86055
467,467,8990,29642,56194
468,468,8980,23110,33643
469,469,8980,39522,90130
470,470,8971,36351,70776
471,471,8961,37008,74077
472,472,8913,43977,110135
473,473,8904,37446,79519
474,474,8875,31937,50111
475,475,8875,38917,66758
476,476,8865,37895,59628
477,477,8846,30163,66220
478,478,8846,31635,69125
479,479,8846,42673,89262
480,480,8837,40326,65419
481,481,8827,33356,68918
482,482,8798,30435,52318
483,483,8779,23069,36095
484,484,8770,38969,80877
485,485,8751,35318,55893
486,486,8732,39804,85725
487,487,8722,31186,41104
488,488,8703,34504,39104
489,489,8645,35099,40085
490,490,8636,37926,84056
491,491,8559,39971,65711
492,492,8559,32428,76775
493,493,8540,27242,60467
494,494,8540,27492,64343
495,495,8502,27576,44575
496,496,8483,26147,62985
497,497,8464,29485,53488
498,498,8435,41369,86527
499,499,8416,33659,78076
500,500,8406,27722,56741
501,501,8397,20752,45357
502,502,8397,45730,114058
503,503,8387,25583,47366
504,504,8368,30414,63381
505,505,8320,27211,51318
506,506,8301,30414,48734
507,507,8301,24790,44103
508,508,8292,35276,80868
509,509,8292,35328,67579
510,510,8282,38875,76275
511,511,8263,46774,95374
512,512,8263,47953,102382
513,513,8253,37091,46046
514,514,8253,25854,50234
515,515,8244,20074,38321
516,516,8234,38437,80255
517,517,8225,42684,81434
518,518,8225,26282,61844
519,519,8206,31582,59609
520,520,8186,40660,73417
521,521,8186,30727,48923
522,522,8177,34160,67428
523,523,8167,31082,88649
524,524,8158,31228,53355
525,525,8148,35172,66984
526,526,8148,31551,52148
527,527,8148,24488,45716
528,528,8139,35067,55440
529,529,8129,38521,64325
530,530,8110,32907,81877
531,531,8072,33043,65522
532,532,8062,27367,51318
533,533,8062,21107,28937
534,534,8043,36956,80623
535,535,8043,30842,83565
536,536,8043,27545,56789
537,537,8024,26564,59816
538,538,8014,36591,70550
539,539,8014,35923,77642
540,540,8005,25134,45395
541,541,8005,28974,53214
542,542,7995,38949,77887
543,543,7995,28807,45235
544,544,7986,16662,27088
545,545,7986,26929,45093
546,546,7928,17257,26598
